,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
466,"IC Cheng, AM Hodg",32,2013,No,Scripta Materialia,"IC Cheng, AM Hodge - Scripta Materialia, 2013 - Elsevier","… (5) σ ∗ σ s = C ρ ∗ ρ s 3 / 2. where σ ∗ is the foam yield strength, σ s is the bulk metal
yield strength (in this case, the ligament strength), ρ ∗ /ρ s is the relative density and
C is a geometry constant [12]. For open cell foams, C = 0.3 …","Strength scale behavior of nanoporous Ag, Pd and Cu foams",Scripta Materialia,IC Cheng
467,"N Michailidis, F Stergioudi, A Tsouknidas",43,2011,No,Materials Science and …,"N Michailidis, F Stergioudi, A Tsouknidas… - Materials Science and …, 2011 - Elsevier","… tests also indicated that the mechanical behaviour of the produced Al foam was affected … to higher
compression properties while reduction in the powder size of metal increased considerably … Raw
cane sugar was used as space holder filler to manufacture open-cell Al-foams …",Compressive response of Al-foams produced via a powder sintering process based on a leachable space-holder material,Materials Science and …,N Michailidis
468,TV Peter,24,1969,No,US Patent 3,"TV Peters - US Patent 3,475,525, 1969 - Google Patent","… USRE32032E (en) *, 1978-02-10, 1985-11-19, Foam Cutting Engineers, Inc. Method of densifying
open-celled polyurethane material … US20070051636A1 (en) *, 2005-09-07, 2007-03-08, Inco Limited,
Process for producing metal foams having uniform cell structure …",Process of reticulating polyurethane foams,"US Patent 3,475,525",
469,"P Ranut, E Nobile, L Mancin",23,2015,[PDF] academia.edu,Experimental Thermal and Fluid Science,"P Ranut, E Nobile, L Mancini - Experimental Thermal and Fluid Science, 2015 - Elsevier","… Most commercially available open-cell metal foams are made of aluminum, copper and steel
alloys, and present a … Metal foams have been on the market since the 1980s but at the beginning,
in view of … For the proper design of a metal foam heat transfer device, the values of the …",High resolution X-ray microtomography-based CFD simulation for the characterization of flow permeability and effective thermal conductivity of aluminum metal foams,Experimental Thermal and Fluid Science,P Ranut
470,"J Storm, M Abendroth, M Emmel, T Liedke",29,2013,[HTML] sciencedirect.com,International Journal of …,"J Storm, M Abendroth, M Emmel, T Liedke… - International Journal of …, 2013 - Elsevier","… This paper presents an approach to generate models of ceramic open-cell foams using simple
objects with variable thickness generated by implicit functions. This approach can also account
for cavities within struts and nodes, which are observed in many real foam structures …",[HTML][HTML] Geometrical modelling of foam structures using implicit functions,International Journal of …,J Storm
471,"J Lévêque, D Rouzineau, M Prévost",82,2009,[PDF] univ-toulouse.fr,Chemical Engineering …,"J Lévêque, D Rouzineau, M Prévost… - Chemical Engineering …, 2009 - Elsevier","… Solid foams (either ceramic or metal-based) have been known for many years and have a wide …
This method permits the synthesis of β-SiC foams with controlled cell sizes close to the pores
per … For this type of foam, the open void fraction is not dependent on the PPI number; in …",Hydrodynamic and mass transfer efficiency of ceramic foam packing applied to distillation,Chemical Engineering …,J Lévêque
472,"N Dukhan, MA ",29,2013,No,ammahi,"N Dukhan, MA Al-Rammahi, AS Suleiman - International Journal of Heat …, 2013 - Elsevier","… They used their results to study tubes filled with metal foams as heat exchangers. In a
follow-up study, Zhao et al … In a recent comprehensive review, Zhao [17] indicated that there
is a lack of reliable experimental heat transfer data for open-cell metal foam …",Fluid temperature measurements inside metal foam and comparison to Brinkman–Darcy flow convection analysis,International Journal of Heat …,N Dukhan
473,"M Haag, A Wanner, H Clemens, P Zhang",19,2003,No,… Materials Transactions A,"M Haag, A Wanner, H Clemens, P Zhang… - … Materials Transactions A, 2003 - Springer","… foam with a relative density of 0.087.[6] While the results for the open-cell foams, which exhibited …
the section plane exhibits a high degree of contrast between the shiny metal and the … rela- tively
narrow distribution of cell diameters, with over 80 pct of the total cell area consisting …",Creep of aluminum-based closed-cell foams,,M Haag
474,"M Odabaee, M De Paepe, P De Jaeger",17,2013,No,… Journal of Numerical …,"M Odabaee, M De Paepe, P De Jaeger… - … Journal of Numerical …, 2013 - emeraldinsight.com","… studies have been conducted to determine the transport properties of metal foams, see Straatman …
Results showed that the area goodness factor of metal foam heat exchangers can be five …
Open‐cell aluminium foam as a highly compact replacement for conventional louver finds …",Particle deposition effects on heat transfer from a metal foam-wrapped tube bundle,,M Odabaee
475,"K Yuge, H Muramatsu, Y Masuda, K Uekado",32,1994,No,US Patent …,"K Yuge, H Muramatsu, Y Masuda, K Uekado… - US Patent …, 1994 - Google Patent","… The cell opening agent used may be a known powdery divalent metal salt of a saturated carboxylic
acid, preferably a fatty … evenly mixed together by use of, for example, a high pressure foaming
machine, to readily provide an open cell rigid polyurethane foam whose cell …",Production and use of open cell rigid polyurethane foam,US Patent …,K Yuge
476,"AR Studart, UT Gonzenbach, I Akartuna",143,2007,[PDF] researchgate.net,Journal of Materials …,"AR Studart, UT Gonzenbach, I Akartuna… - Journal of Materials …, 2007 - pubs.rsc.org","… b) Closed and (c) open-cell alumina porous … structures, whereas the controlled destabilization
of droplets and bubbles may lead to porous structures with tailored cell openings and … J. Banhart,
Manufacture, characterisation and application of cellular metals and metal foams, Prog …",Materials from foams and emulsions stabilized by colloidal particles,Journal of Materials …,AR Studart
477,"N Movahedi, A Habibolahzade",16,2016,No,Materials Letters,"N Movahedi, A Habibolahzadeh - Materials Letters, 2016 - Elsevier","… Open-cell metal foams are used in applications such as filtration, thermal and ionic exchangers …
instead, surface treatment studies have mainly focused on surface treatment of open-cell aluminum
foams … Closed-cell aluminum foams were first fabricated through casting process …",Effect of plasma electrolytic oxidation treatment on corrosion behavior of closed-cell Al-A356 alloy foam,Materials Letters,N Movahedi
478,"U Müller, T Imwinkelried, M Horst, M Sievers",89,2006,[PDF] semanticscholar.org,Eur Cell …,"U Müller, T Imwinkelried, M Horst, M Sievers… - Eur Cell …, 2006 - pdfs.semanticscholar.org","… Since 1988 when Bagby invented the first cage device (Bagby, 1988) numerous types of implants,
made from metal, carbon fibre composites or titanium … DO HUMAN OSTEOBLASTS GROW INTO
OPEN-POROUS TITANIUM … Cell Culture Experiments of Novel Titanium Foam …",[PDF][PDF] Do human osteoblasts grow into open-porous titanium,Eur Cell …,U Müller
479,GA La,10,2017,No,odriguez,"GA Lara-Rodriguez, IA Figueroa, MA Suarez… - Journal of Materials …, 2017 - Elsevier","… (2008) obtained a Mg foam by melt … (1961). According to Polonsky this method is able to produce
an interconnected open-cell structure by infiltrating the molten metal under pressure through
an open pore preform (or negative of the foam) made from granular particles …",A replication-casting device for manufacturing open-cell Mg foams,Journal of Materials …,
480,"MAA Mendes, S Ray, D Trimi",35,2014,No,International Journal of Heat and Mass …,"MAA Mendes, S Ray, D Trimis - International Journal of Heat and Mass …, 2014 - Elsevier","… (2a), (2b), as well as its original version, given by Eq. (1), in estimating k ̃ eff of real open-cell
porous foams is also investigated by considering four different foam samples (named as Foam
1, Foam 2, Foam 3 and Foam 4). Structures of these foam samples and their detailed …",An improved model for the effective thermal conductivity of open-cell porous foams,International Journal of Heat and Mass …,MAA Mendes
481,"L Mullen, RC Stamp, WK Brooks",245,2009,[PDF] researchgate.net,… Research Part B …,"L Mullen, RC Stamp, WK Brooks… - … Research Part B …, 2009 - Wiley Online Library","… that shows great promise.27 SLM is ordinarily used to produce solid metal components,28 … Open
cellular foam structures produced by SLM can achieve controlled pore interconnectivity and
porosities by … The objective of this article is to describe how a unit cell approach can be …","Selective Laser Melting: A regular unit cell approach for the manufacture of porous, titanium, bone in‐growth constructs, suitable for orthopedic applications",,L Mullen
482,"M Kolluri, M Mukherjee, F Garc",44,2008,[PDF] helmholtz-berlin.de,oreno,"M Kolluri, M Mukherjee, F Garcia-Moreno, J Banhart… - Acta materialia, 2008 - Elsevier","… 7] used 4% for open cell foams with a … etc., in turn impart a large variability to the quasi-static
mechanical properties of the metal foams [27 … Turning attention to the macroscale strain
accumulation mechanisms, namely the progressive cell band collapse mechanism, observation …",Fatigue of a laterally constrained closed cell aluminum foam,Acta materialia,M Kolluri
483,"KYG McCullough, NA Fleck",73,2000,[PDF] cam.ac.uk,Fatigue and Fracture …,"KYG McCullough, NA Fleck… - Fatigue and Fracture …, 2000 - www-mech.eng.cam.ac.uk","… 4(и + 2) t 2я+1\ Fl 4и / (T0t (6) in terms of the applied load F, the cell size 2/ and the cell edge
thickness t. Now, the load F is proportional to al2, where a is the macroscopic stress on the foam;
the overall strain rate è of the foam is proportional to ô/l. For open cell foams, this gives …",[PDF][PDF] The stress-life fatigue behaviour of aluminium alloy foams,Fatigue and Fracture …,KYG McCullough
484,HT Cu,47,2012,No,Applied Thermal Engineering,"HT Cui - Applied Thermal Engineering, 2012 - Elsevier","… and inter connected open-cells, Zhou and Zhao [14] experimental study on heat transfer
characteristics of PCMs embeden in open-cell metal foams and expanded graphite, Chen et
al. [15] found the temperature distribution in paraffin embeded with metal foam was more …",Experimental investigation on the heat charging process by paraffin filled with high porosity copper foam,Applied Thermal Engineering,
485,"K Kitazono, S Nishizawa, E Sato, T Moteg",32,2004,[PDF] jst.go.jp,Materials transactions,"K Kitazono, S Nishizawa, E Sato, T Motegi - Materials transactions, 2004 - jstage.jst.go.j","… Morphol- ogy of the metal foams is classified into two types: open-cell metal foam having
interconnected pores … Consequently, the precursor expands and forms into a closed- cell aluminum
foam. The disadvantages of the P/M route are relatively expensive metal powder and the …",Effect of ARB cycle number on cell morphology of closed-cell Al-Si alloy foam,Materials transactions,K Kitazono
